ID,datetime,siteid,offerid,category,merchant,countrycode,browserid,devid
IDFDJVI,22/1/2017 9:55,755610,808980,17714,26391770,b,Mozilla Firefox,Desktop
IDNWkTQ,22/1/2017 3:54,3714899,280355,12052,39507200,b,Edge,Tablet
IDHaQaj,22/1/2017 14:45,1754730,612234,11837,8837581,b,Edge,Tablet
IDFZS6l,22/1/2017 13:31,2182389,726166,40339,43452411,b,Google Chrome,Mobile
IDecQv2,22/1/2017 16:25,1549414,32183,40339,43452411,a,Mozilla Firefox,Desktop
IDR9hAD,21/1/2017 20:33,3696590,609024,73362,67147700,a,Edge,Tablet
IDzZxxC,21/1/2017 15:08,205152,368543,76239,99096064,f,Firefox,Mobile
IDqvysv,22/1/2017 8:47,3196302,573102,54125,27723861,b,Firefox,Mobile
ID0glaO,21/1/2017 10:45,8413006,751968,14960,67860104,b,Edge,Tablet
IDtcynu,21/1/2017 10:44,5799755,269869,68847,73725102,e,Firefox,Mobile
ID9eJOm,21/1/2017 14:52,1753598,709091,48498,55358028,a,Mozilla Firefox,Desktop
IDUymsI,21/1/2017 11:56,7218201,864792,6747,3151081,a,Edge,Tablet
IDIeWTY,21/1/2017 9:07,7779592,974562,6906,99510044,b,Edge,Tablet
IDXEp3L,21/1/2017 11:26,1692773,258682,37055,29624796,b,Mozilla,Desktop
IDAARYP,21/1/2017 12:53,1749261,339409,80554,40325509,b,Safari,Tablet
IDMscJr,23/1/2017 21:56,4295360,160161,41640,83172146,a,Firefox,Mobile
IDu8nxQ,23/1/2017 7:15,5782238,854780,98552,73715675,a,InternetExplorer,Desktop
IDzYpBs,21/1/2017 11:01,36398,245542,54343,71193712,b,IE,Mobile
IDh6KmC,21/1/2017 16:12,7410599,51382,14345,555603,d,Firefox,Mobile
IDYf7g8,21/1/2017 9:48,2808978,693838,97863,3156697,a,Internet Explorer,Tablet
IDB0Gwa,22/1/2017 8:52,3929053,837531,54916,72089744,f,Firefox,Mobile
IDiq0sH,23/1/2017 16:02,7606905,342843,41640,43526789,b,InternetExplorer,Desktop
ID30m3p,21/1/2017 13:09,993769,528289,42227,43770446,a,Mozilla Firefox,Desktop
IDFMhSX,21/1/2017 13:29,1081620,691222,9764,8730209,e,Firefox,Mobile
IDCsUPo,21/1/2017 14:41,8037194,188958,80554,49302500,a,Google Chrome,Mobile
IDyycxB,23/1/2017 2:58,7111951,802409,68947,81968512,b,Mozilla,Desktop
IDdjkdm,23/1/2017 21:48,5792670,242089,904,33247409,b,InternetExplorer,Desktop
IDRrp5r,23/1/2017 21:50,4530185,160161,41640,83172146,a,Firefox,Mobile
IDb7n5T,22/1/2017 10:45,3115240,239577,6906,99510044,b,Google Chrome,Mobile
IDxSfip,21/1/2017 15:15,4076702,918630,2053,63492765,a,Edge,Tablet
ID4vWV0,21/1/2017 11:00,4119746,650416,53835,26391770,b,Firefox,Mobile
IDHg4lw,21/1/2017 15:34,2273031,458859,45620,31388981,a,,Mobile
IDRhVNI,22/1/2017 15:55,5838185,306529,33638,79906734,f,Firefox,Mobile
IDq24SH,21/1/2017 13:21,5669552,922858,87895,61940782,a,Edge,Tablet
IDZZrY2,21/1/2017 16:10,1831129,611541,3037,30349169,a,Mozilla Firefox,Desktop
ID3lRhM,23/1/2017 21:59,9367386,641127,41640,37135965,d,Edge,Tablet
IDNE3fw,22/1/2017 13:43,3558766,712958,6906,99510044,b,Edge,Tablet
ID2y5eQ,22/1/2017 15:47,6230882,229464,97863,36994522,e,Mozilla,Desktop
IDRlLoU,22/1/2017 10:10,5543088,989067,42227,49384126,c,Google Chrome,Mobile
IDjrW3u,22/1/2017 4:48,8432248,449641,46450,47079934,b,,Mobile
IDIGas9,22/1/2017 14:21,6073075,454574,34670,1569330,f,Firefox,Mobile
IDzyx9v,22/1/2017 16:22,9288984,310992,6906,99510044,d,Edge,Tablet
IDJTLmz,22/1/2017 11:09,3466833,937080,50088,30860214,c,InternetExplorer,Desktop
IDPADAz,22/1/2017 15:20,7858418,342564,8414,47079934,c,Mozilla,Desktop
IDYoRU8,23/1/2017 10:27,4858374,592426,82877,21873352,a,Firefox,Mobile
IDM44VR,21/1/2017 13:30,5305968,692432,42227,32738053,b,,Tablet
IDOSpu5,23/1/2017 23:51,3180933,782047,904,94350426,b,Google Chrome,Mobile
IDN2enK,23/1/2017 21:13,4868532,160161,41640,83172146,b,Mozilla Firefox,Desktop
IDcxrYx,21/1/2017 5:18,3963692,6792,95113,65017662,c,Google Chrome,Mobile
ID7e5r1,22/1/2017 14:27,4138064,337034,64452,87726715,d,Mozilla Firefox,Desktop
IDkql7V,23/1/2017 20:49,8807164,459561,48430,39772159,c,Google Chrome,Mobile
IDsa7a2,23/1/2017 9:29,6357529,545672,6906,99510044,b,Firefox,Mobile
IDX84s4,21/1/2017 14:55,973390,134444,95113,65017662,b,Chrome,Desktop
IDSeAoK,22/1/2017 8:47,5685617,290089,84987,37135965,a,Firefox,Mobile
ID8SU8O,21/1/2017 14:02,8169736,453992,22023,23588197,e,Edge,Tablet
IDaUOfO,21/1/2017 9:48,7542442,643768,70191,40325509,a,Edge,Tablet
ID9n7UI,21/1/2017 16:29,2365145,273963,12052,93343563,f,Edge,Tablet
IDsPhWP,23/1/2017 20:27,3925243,820277,904,74868704,e,Firefox,Mobile
IDRkH0j,21/1/2017 16:35,4995670,965938,59164,40325509,b,Mozilla Firefox,Desktop
IDMlDa0,21/1/2017 9:36,1515724,745668,10345,33683592,b,Mozilla,Desktop
IDQUq5T,21/1/2017 9:39,9593933,140039,48498,30860214,a,Safari,Tablet
IDgfhpY,22/1/2017 11:16,3349167,730830,92902,555603,a,Google Chrome,Mobile
ID1GfV0,23/1/2017 16:36,4033111,641127,41640,37135965,a,Firefox,Mobile
IDKEYYV,21/1/2017 15:06,7230868,436229,97863,87807327,b,Firefox,Mobile
IDSpPM2,22/1/2017 11:52,1399120,356649,82877,33505809,f,IE,Mobile
IDe7atF,21/1/2017 16:59,7936453,563529,62809,40325509,b,Firefox,Mobile
IDAH8md,23/1/2017 17:25,2334279,160161,41640,83172146,b,Edge,Tablet
ID4cr2I,23/1/2017 16:41,3533320,39940,41640,27723861,a,Mozilla Firefox,Desktop
ID7hROf,21/1/2017 11:17,9531796,153281,36610,83471179,b,Firefox,Mobile
IDq1wR3,22/1/2017 11:54,2595962,183621,30580,67147700,b,Chrome,Desktop
IDomEPb,21/1/2017 12:55,3092776,64415,9764,37135965,b,Firefox,Mobile
ID2asCE,21/1/2017 11:00,159313,103846,53956,9434818,b,Firefox,Mobile
IDhg64R,21/1/2017 8:14,5745343,406313,48498,26929326,a,Google Chrome,Mobile
ID1OOTf,22/1/2017 16:19,3160802,734095,97863,87807327,b,Firefox,Mobile
IDl5ZiW,23/1/2017 9:01,9676461,274806,30580,67147700,a,Edge,Tablet
IDnQXdr,21/1/2017 16:02,4836001,869834,29183,42914671,b,Mozilla Firefox,Desktop
